fecha,id_transaccion,cliente,categoria,producto,moneda,monto,cantidad,metodo_pago,origen,pais,ciudad,bool_col,is_outlier,outlier_score
2025-01-01,IG-20250101-0122,cli_044,Ropa,Polera Oversize,CLP,"$50.886,00",2,MercadoPago,IG Ads,CL,La Serena,true,false,
2025-01-02,IG-20250102-0018,cli_022,Electrónica,Audífonos BT,CLP,$54.702,3,Tarjeta,Orgánico,CL,Antofagasta,true,false,
2025-01-02,IG-20250102-0064,cli_031,Accesorios,Collar Luna,CLP,"$13.287,00",1,Tarjeta,Orgánico,CL,Valparaíso,true,false,
2025-01-03,IG-20250103-0167,cli_013,Hogar,Taza Cerámica,CLP,$16.168,1,Tarjeta,IG Ads,CL,Valparaíso,true,false,
2025-01-04,IG-20250104-0068,cli_020,Hogar,Taza Cerámica,CLP,$14.249,1,MercadoPago,Orgánico,CL,Temuco,false,false,
2025-01-05,IG-20250105-0123,cli_035,Accesorios,Aros Minimal,CLP,"$10.719,00",1,Tarjeta,Orgánico,CL,Temuco,false,false,
2025-01-05,IG-20250105-0103,cli_013,Hogar,Taza Cerámica,CLP,$28.626,2,Tarjeta,IG Ads,CL,Santiago,false,false,
2025-01-08,IG-20250108-0056,cli_075,Ropa,Polera Oversize,USD,"USD 57,77",2,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-01-09,IG-20250109-0048,cli_015,Hogar,Velas Aromáticas,CLP,$17.840,1,Transferencia,Orgánico,CL,Santiago,false,false,
2025-01-09,IG-20250109-0091,cli_072,Hogar,Cojín Decor,CLP,$16.811,1,Transferencia,Orgánico,CL,La Serena,true,false,
2025-01-12,IG-20250112-0108,cli_002,Electrónica,Audífonos BT,CLP,"$16.879,00",1,MercadoPago,Orgánico,CL,Concepción,false,false,
2025-01-13,IG-20250113-0143,cli_030,Electrónica,Powerbank 10k,USD,"USD 56,29",3,Tarjeta,IG Ads,CL,La Serena,false,false,
2025-01-14,IG-20250114-0073,cli_082,Ropa,Blazer Casual,CLP,$67.212,3,Transferencia,IG Ads,CL,Rancagua,false,false,
2025-01-14,IG-20250114-0047,cli_078,Electrónica,Mini Trípode,CLP,"$17.136,00",1,Transferencia,Orgánico,CL,Valparaíso,false,false,
2025-01-15,IG-20250115-0031,cli_062,Belleza,Serum Vit C,CLP,"$22.869,00",3,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-01-15,IG-20250115-0086,cli_039,Ropa,Pantalón Cargo,CLP,$72.777,3,Transferencia,Orgánico,CL,Rancagua,false,false,
2025-01-15,IG-20250115-0076,cli_073,Electrónica,Mini Trípode,CLP,"$56.010,00",3,Transferencia,Orgánico,CL,Temuco,false,false,
2025-01-15,IG-20250115-0003,cli_067,Electrónica,Mini Trípode,CLP,$17.449,1,Tarjeta,IG Ads,CL,Rancagua,false,false,
2025-01-15,IG-20250115-0128,cli_013,Ropa,Blazer Casual,CLP,$24.663,1,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-01-18,IG-20250118-0043,cli_023,Accesorios,Aros Minimal,CLP,"$27.890,00",2,Tarjeta,Orgánico,CL,Rancagua,false,false,
2025-01-21,IG-20250121-0023,cli_034,Ropa,Hoodie Unisex,CLP,"$73.908,00",3,Tarjeta,Orgánico,CL,Concepción,false,false,
2025-01-21,IG-20250121-0040,cli_047,Belleza,Serum Vit C,CLP,$9.640,1,Transferencia,IG Ads,CL,Rancagua,true,false,
2025-01-21,IG-20250121-0006,cli_072,Electrónica,Mini Trípode,CLP,"$15.588,00",1,MercadoPago,IG Ads,CL,La Serena,true,false,
2025-01-22,IG-20250122-0026,cli_052,Ropa,Hoodie Unisex,CLP,$48.856,2,Tarjeta,Orgánico,CL,Concepción,false,false,
2025-01-24,IG-20250124-0081,cli_073,Accesorios,Pulsera Acero,CLP,"$10.730,00",1,Tarjeta,Orgánico,CL,Valparaíso,false,false,
2025-01-27,IG-20250127-0126,cli_043,Belleza,Mascarilla Facial,CLP,$12.173,1,Tarjeta,Orgánico,CL,Valparaíso,false,false,
2025-01-27,IG-20250127-0164,cli_011,Electrónica,Powerbank 10k,CLP,$20.073,1,Tarjeta,Influencer,CL,Valparaíso,false,false,
2025-01-28,IG-20250128-0154,cli_063,Hogar,Velas Aromáticas,CLP,$14.629,1,MercadoPago,Orgánico,CL,Antofagasta,true,false,
2025-01-28,IG-20250128-0105,cli_034,Hogar,Cojín Decor,CLP,$17.880,1,Tarjeta,IG Ads,CL,Antofagasta,false,false,
2025-01-28,IG-20250128-0153,cli_007,Ropa,Pantalón Cargo,CLP,$68.616,3,Transferencia,IG Ads,CL,La Serena,true,false,
2025-01-28,IG-20250128-0147,cli_006,Electrónica,Mini Trípode,CLP,$40.150,2,Transferencia,IG Ads,CL,Concepción,false,false,
2025-01-29,IG-20250129-0141,cli_036,Accesorios,Anillo Ajustable,CLP,$22.588,2,Tarjeta,Orgánico,CL,Concepción,true,false,
2025-01-30,IG-20250130-0158,cli_017,Accesorios,Anillo Ajustable,CLP,$9.731,1,MercadoPago,IG Ads,CL,Santiago,false,false,
2025-02-02,IG-20250202-0101,cli_017,Hogar,Organizador Acrílico,CLP,$15.681,1,Tarjeta,IG Ads,CL,La Serena,false,false,
2025-02-02,IG-20250202-0110,cli_040,Belleza,Mascarilla Facial,CLP,$28.317,3,Tarjeta,Orgánico,CL,Valparaíso,true,false,
2025-02-04,IG-20250204-0058,cli_014,Belleza,Labial Mate,CLP,$10.202,1,Transferencia,Orgánico,CL,Concepción,false,false,
2025-02-04,IG-20250204-0118,cli_026,Electrónica,Mini Trípode,CLP,$15.864,1,MercadoPago,Orgánico,CL,La Serena,true,false,
2025-02-05,IG-20250205-0142,cli_008,Ropa,Polera Oversize,CLP,"$21.831,00",1,Tarjeta,IG Ads,CL,Temuco,false,false,
2025-02-06,IG-20250206-0114,cli_019,Accesorios,Aros Minimal,CLP,$42.840,3,Tarjeta,IG Ads,CL,Rancagua,true,false,
2025-02-07,IG-20250207-0021,cli_032,Electrónica,Audífonos BT,CLP,"$19.490,00",1,Transferencia,IG Ads,CL,Concepción,false,false,
2025-02-09,IG-20250209-0077,cli_041,Electrónica,Powerbank 10k,CLP,$34.224,2,Tarjeta,Orgánico,CL,Temuco,true,false,
2025-02-10,IG-20250210-0104,cli_056,Ropa,Polera Oversize,CLP,$46.344,2,Transferencia,Influencer,CL,La Serena,false,false,
2025-02-10,IG-20250210-0084,cli_010,Electrónica,Luz Selfie,CLP,$59.166,3,MercadoPago,IG Ads,CL,Rancagua,true,false,
2025-02-11,IG-20250211-0130,cli_033,Belleza,Crema Hidratante,CLP,"$10.505,00",1,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-02-13,IG-20250213-0156,cli_082,Electrónica,Audífonos BT,CLP,$35.864,2,MercadoPago,Orgánico,CL,Antofagasta,false,false,
2025-02-13,IG-20250213-0071,cli_032,Belleza,Labial Mate,CLP,$9.980,1,MercadoPago,Orgánico,CL,Valparaíso,false,false,
2025-02-14,IG-20250214-0150,cli_041,Accesorios,Collar Luna,CLP,$10.453,1,Tarjeta,Orgánico,CL,Temuco,false,false,
2025-02-14,IG-20250214-0087,cli_042,Ropa,Pantalón Cargo,CLP,$22.303,1,Tarjeta,IG Ads,CL,Valparaíso,false,false,
